"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group D","high school","standard","none","73","65","64"
"male","group B","some high school","free/reduced","completed","52","63","53"
"male","group B","some high school","standard","completed","58","57","53"
"female","group B","some high school","standard","none","33","51","51"
"male","group E","some high school","free/reduced","none","68","62","61"
"female","group C","associate's degree","standard","completed","77","91","89"
"female","group C","bachelor's degree","standard","none","64","64","66"
"female","group D","some high school","free/reduced","none","39","49","48"
"male","group D","bachelor's degree","standard","none","50","46","48"
"male","group A","master's degree","free/reduced","none","53","57","51"
"female","group B","associate's degree","standard","completed","54","62","70"
"male","group D","high school","standard","none","74","63","65"
"female","group D","associate's degree","standard","completed","50","63","65"
"male","group E","associate's degree","standard","none","55","54","47"
"male","group C","some college","standard","none","77","64","70"
"female","group B","some high school","standard","completed","49","64","67"
"female","group D","associate's degree","free/reduced","none","66","83","82"
"male","group B","some high school","standard","completed","77","74","75"
"female","group A","master's degree","standard","completed","74","78","84"
"male","group C","some college","standard","none","85","78","81"
"female","group A","some college","standard","none","77","86","84"
"female","group B","associate's degree","standard","none","64","62","66"
"female","group D","high school","free/reduced","completed","61","69","68"
"male","group D","associate's degree","standard","none","97","88","85"
"male","group C","some college","standard","completed","66","75","70"
"male","group C","some high school","standard","none","62","66","64"
"female","group E","some high school","standard","completed","64","80","77"
"female","group B","bachelor's degree","free/reduced","none","55","57","60"
"female","group B","associate's degree","standard","none","53","72","66"
"female","group D","some college","free/reduced","none","71","81","77"
"male","group B","high school","free/reduced","completed","66","59","68"
"male","group C","associate's degree","standard","none","68","61","62"
"male","group D","some college","standard","none","89","90","83"
"male","group C","associate's degree","standard","completed","65","69","74"
"female","group B","some high school","standard","none","43","48","44"
"female","group D","master's degree","standard","none","79","77","83"
"male","group D","bachelor's degree","standard","none","99","94","97"
"male","group D","some high school","standard","none","82","69","72"
"male","group D","some college","free/reduced","completed","35","36","39"
"female","group D","bachelor's degree","free/reduced","none","61","71","73"
"female","group D","high school","standard","none","76","80","81"
"male","group C","associate's degree","free/reduced","completed","94","83","82"
"female","group C","high school","standard","none","75","90","78"
"male","group B","some college","standard","none","81","75","70"
"male","group C","some college","free/reduced","none","35","44","33"
"male","group C","some college","standard","none","76","74","72"
"female","group B","bachelor's degree","standard","none","58","79","82"
"male","group C","associate's degree","standard","completed","100","91","90"
"female","group C","bachelor's degree","standard","none","53","68","64"
"female","group D","high school","standard","none","82","95","96"
"male","group B","associate's degree","standard","none","76","62","64"
"male","group C","bachelor's degree","standard","completed","83","75","75"
"female","group D","some college","standard","none","72","84","82"
"male","group D","associate's degree","standard","completed","76","76","83"
"male","group D","some high school","standard","none","66","64","58"
"male","group C","some college","standard","none","63","65","63"
"male","group B","some high school","standard","none","36","34","28"
"male","group C","high school","standard","none","68","74","71"
"female","group C","some high school","free/reduced","completed","40","52","42"
"male","group D","some high school","standard","none","68","71","61"
"male","group C","associate's degree","standard","completed","56","54","52"
"female","group D","associate's degree","free/reduced","none","74","83","80"
"female","group D","some college","free/reduced","none","53","70","71"
"male","group B","some high school","standard","none","88","65","70"
"male","group D","some high school","standard","none","67","63","61"
"female","group B","associate's degree","standard","none","60","76","65"
"female","group C","high school","free/reduced","none","51","61","54"
"female","group D","some high school","standard","none","53","66","59"
"male","group A","bachelor's degree","standard","none","80","78","74"
"female","group E","some high school","standard","none","69","71","67"
"female","group B","some high school","free/reduced","none","64","79","70"
"female","group D","associate's degree","free/reduced","completed","80","87","89"
"female","group A","some high school","standard","none","58","72","62"
"female","group C","high school","standard","none","39","46","50"
"male","group D","some high school","standard","none","64","56","50"
"male","group D","associate's degree","standard","none","61","66","63"
"male","group D","some high school","standard","completed","90","82","88"
"male","group D","some high school","standard","none","73","71","64"
"male","group C","associate's degree","standard","none","73","73","70"
"female","group D","associate's degree","standard","none","67","76","77"
"female","group B","some college","standard","none","57","58","62"
"female","group E","some college","standard","none","65","73","72"
"female","group C","some high school","standard","none","71","72","71"
"female","group D","some high school","standard","none","59","69","72"
"male","group B","high school","standard","completed","74","71","65"
"female","group E","high school","standard","none","93","100","93"
"female","group B","some high school","standard","completed","85","93","92"
"female","group E","some high school","standard","none","76","83","79"
"female","group D","high school","free/reduced","none","58","72","70"
"female","group E","associate's degree","standard","none","72","77","77"
"female","group B","high school","standard","none","40","49","47"
"male","group D","high school","standard","completed","75","73","66"
"male","group D","some high school","standard","none","85","81","80"
"male","group E","associate's degree","standard","completed","100","100","100"
"female","group B","some college","free/reduced","completed","53","65","66"
"male","group D","some college","free/reduced","none","40","42","39"
"male","group B","bachelor's degree","free/reduced","none","49","49","49"
"male","group C","associate's degree","standard","none","77","80","80"
"female","group D","high school","standard","none","82","89","84"
"male","group C","some college","standard","none","55","48","42"
"female","group C","some high school","free/reduced","none","62","71","77"
"male","group B","high school","standard","completed","69","63","59"
"male","group C","associate's degree","standard","none","78","74","76"
"female","group B","high school","free/reduced","completed","71","77","82"
"male","group D","some college","free/reduced","completed","59","71","66"
"female","group D","high school","free/reduced","none","60","75","70"
"female","group C","bachelor's degree","free/reduced","completed","43","60","60"
"female","group C","some high school","standard","none","77","83","86"
"male","group D","some high school","free/reduced","none","50","47","46"
"female","group E","bachelor's degree","free/reduced","none","56","58","52"
"male","group B","high school","standard","none","69","58","50"
"male","group D","high school","standard","none","47","43","39"
"male","group B","some college","free/reduced","none","43","28","24"
"male","group A","some high school","free/reduced","none","48","39","40"
"male","group C","high school","free/reduced","none","55","62","49"
"male","group C","some college","standard","none","73","68","66"
"male","group D","bachelor's degree","standard","none","71","63","66"
"female","group B","some college","standard","none","54","57","60"
"male","group C","high school","standard","none","66","61","63"
"male","group A","master's degree","standard","none","63","63","67"
"female","group D","bachelor's degree","standard","none","66","81","73"
"male","group C","bachelor's degree","standard","completed","79","80","75"
"male","group D","associate's degree","free/reduced","completed","73","69","70"
"female","group C","some high school","standard","none","36","57","53"
"male","group C","associate's degree","free/reduced","none","50","48","43"
"male","group E","some college","standard","completed","87","78","80"
"male","group C","associate's degree","standard","none","71","68","63"
"female","group C","associate's degree","standard","completed","85","87","94"
"female","group C","high school","standard","completed","58","67","64"
"male","group C","some college","standard","none","86","83","81"
"female","group D","some high school","free/reduced","none","64","86","89"
"male","group D","some college","standard","none","83","85","79"
"male","group E","high school","free/reduced","completed","58","56","49"
"female","group C","some college","free/reduced","completed","59","83","81"
"female","group C","high school","standard","none","40","58","54"
"male","group D","associate's degree","standard","completed","82","83","85"
"male","group E","some high school","standard","none","87","84","80"
"female","group C","some high school","standard","none","62","65","64"
"male","group B","associate's degree","free/reduced","completed","76","80","78"
"female","group A","high school","standard","none","63","69","60"
"male","group D","some college","free/reduced","completed","58","60","59"
"male","group D","associate's degree","standard","completed","61","63","65"
"male","group C","some college","standard","none","78","69","71"
"female","group C","bachelor's degree","free/reduced","completed","78","90","81"
"male","group C","some college","standard","none","56","54","43"
"male","group D","some high school","standard","none","96","83","82"
"male","group C","high school","standard","none","48","43","40"
"male","group C","associate's degree","standard","completed","70","76","72"
"male","group D","some college","free/reduced","none","43","68","58"
"female","group E","high school","free/reduced","none","45","46","49"
"female","group C","associate's degree","standard","none","58","68","62"
"female","group A","high school","standard","completed","70","73","80"
"female","group E","some high school","standard","none","60","61","58"
"male","group C","some high school","free/reduced","none","52","53","47"
"male","group C","associate's degree","free/reduced","none","61","62","54"
"female","group D","some high school","standard","none","55","70","61"
"male","group B","high school","standard","completed","80","80","79"
"male","group D","some college","free/reduced","none","63","60","54"
"female","group B","master's degree","standard","none","79","79","87"
"male","group A","associate's degree","standard","none","74","78","72"
"female","group B","some college","free/reduced","completed","46","58","64"
"female","group B","some high school","standard","completed","72","88","92"
"female","group E","some high school","free/reduced","none","58","64","64"
"female","group E","master's degree","standard","none","47","50","47"
"female","group D","bachelor's degree","standard","completed","68","78","84"
"male","group D","bachelor's degree","free/reduced","completed","68","71","67"
"female","group D","high school","standard","none","65","75","68"
"female","group B","associate's degree","standard","none","50","54","51"
"female","group B","high school","free/reduced","completed","48","71","68"
"female","group B","bachelor's degree","standard","none","58","60","64"
"male","group C","some high school","free/reduced","completed","71","74","68"
"male","group D","some high school","free/reduced","completed","58","52","48"
"female","group A","some college","free/reduced","none","66","90","83"
"male","group C","some college","free/reduced","none","44","53","43"
"female","group B","some high school","standard","completed","51","63","66"
"male","group A","some college","standard","completed","78","83","77"
"male","group C","high school","standard","none","72","71","65"
"female","group D","associate's degree","standard","none","60","64","67"
"female","group C","associate's degree","free/reduced","none","55","61","60"
"male","group B","some high school","standard","none","64","67","64"
"female","group C","some high school","free/reduced","none","57","64","60"
"female","group A","high school","standard","none","70","75","74"
"male","group D","some high school","standard","completed","84","72","76"
"female","group B","some college","standard","completed","66","71","76"
"female","group C","bachelor's degree","free/reduced","completed","56","65","73"
"male","group E","some college","free/reduced","completed","59","53","56"
"female","group E","bachelor's degree","standard","none","87","89","84"
"male","group E","high school","free/reduced","none","73","75","64"
"female","group A","high school","standard","none","85","91","89"
"male","group B","some college","free/reduced","none","49","54","42"
"female","group C","bachelor's degree","standard","completed","82","87","90"
"female","group D","some college","standard","none","80","90","90"
"female","group E","high school","standard","none","48","51","43"
"female","group D","high school","standard","completed","85","83","94"
"female","group E","some high school","standard","completed","70","78","76"
"male","group E","associate's degree","standard","completed","89","84","81"
"female","group D","high school","standard","completed","72","86","79"
"female","group D","some high school","free/reduced","none","80","86","87"
"female","group D","some high school","free/reduced","none","43","57","50"
"male","group C","some high school","free/reduced","completed","54","61","61"
"male","group A","associate's degree","free/reduced","completed","82","82","78"
"male","group C","bachelor's degree","free/reduced","none","74","80","78"
"female","group C","some college","standard","none","63","62","64"
"female","group C","high school","free/reduced","none","47","56","51"
"female","group C","some college","free/reduced","none","13","29","23"
"male","group D","some college","free/reduced","none","67","58","56"
"male","group C","some high school","standard","none","57","59","54"
